[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:42:21.262667] Epoch : 0315 loss = 0.101946069
[2020-07-07 10:42:25.432407] Epoch : 0316 loss = 0.115947582
[2020-07-07 10:42:29.622422] Epoch : 0317 loss = 0.133302083
[2020-07-07 10:42:33.848931] Epoch : 0318 loss = 0.123673229
[2020-07-07 10:42:38.013917] Epoch : 0319 loss = 0.107701687
[2020-07-07 10:42:42.160776] Epoch : 0320 loss = 0.096448571
[2020-07-07 10:42:46.299141] Epoch : 0321 loss = 0.090719188
[2020-07-07 10:42:50.460946] Epoch : 0322 loss = 0.083970499
[2020-07-07 10:42:54.664284] Epoch : 0323 loss = 0.076289201
[2020-07-07 10:42:58.781199] Epoch : 0324 loss = 0.071243762
[2020-07-07 10:43:02.912786] Epoch : 0325 loss = 0.068510157
[2020-07-07 10:43:07.051465] Epoch : 0326 loss = 0.067519568
[2020-07-07 10:43:11.176223] Epoch : 0327 loss = 0.069228994
[2020-07-07 10:43:15.348865] Epoch : 0328 loss = 0.072861822
[2020-07-07 10:43:19.547444] Epoch : 0329 loss = 0.075178629
[2020-07-07 10:43:23.758783] Epoch : 0330 loss = 0.075207610
[2020-07-07 10:43:27.959679] Epoch : 0331 loss = 0.075595629
[2020-07-07 10:43:32.128378] Epoch : 0332 loss = 0.074284175
[2020-07-07 10:43:36.262290] Epoch : 0333 loss = 0.073446288
[2020-07-07 10:43:40.384338] Epoch : 0334 loss = 0.073497635
[2020-07-07 10:43:44.563504] Epoch : 0335 loss = 6.873830445
[2020-07-07 10:43:48.701962] Epoch : 0336 loss = 0.093233585
[2020-07-07 10:43:52.814204] Epoch : 0337 loss = 0.091851974
[2020-07-07 10:43:56.915714] Epoch : 0338 loss = 0.090854295
[2020-07-07 10:44:01.034558] Epoch : 0339 loss = 0.090105331
[2020-07-07 10:44:05.117592] Epoch : 0340 loss = 0.092854636
